nohup: ignoring input
Step 1: Waiting for training to complete...
Wed Mar 18 14:54:26 IST 2026: Training 2/18
Wed Mar 18 14:59:27 IST 2026: Training 2/18
Wed Mar 18 15:04:27 IST 2026: Training 2/18
Wed Mar 18 15:09:27 IST 2026: Training 2/18
Wed Mar 18 15:14:27 IST 2026: Training 2/18
Wed Mar 18 15:19:27 IST 2026: Training 2/18
Wed Mar 18 15:24:27 IST 2026: Training 2/18
Wed Mar 18 15:29:27 IST 2026: Training 2/18
Wed Mar 18 15:34:27 IST 2026: Training 2/18
Wed Mar 18 15:39:27 IST 2026: Training 2/18
Wed Mar 18 15:50:14 IST 2026: Training 2/18
Wed Mar 18 15:58:53 IST 2026: Training 2/18
Wed Mar 18 16:03:53 IST 2026: Training 2/18
Wed Mar 18 16:08:53 IST 2026: Training 2/18
Wed Mar 18 16:14:23 IST 2026: Training 2/18
Wed Mar 18 16:19:24 IST 2026: Training 2/18
Wed Mar 18 16:24:24 IST 2026: Training 2/18
Wed Mar 18 16:29:24 IST 2026: Training 2/18
Wed Mar 18 16:34:24 IST 2026: Training 2/18
Wed Mar 18 16:39:28 IST 2026: Training 2/18
Wed Mar 18 16:44:28 IST 2026: Training 2/18
Wed Mar 18 16:50:15 IST 2026: Training 2/18
Wed Mar 18 16:55:15 IST 2026: Training 2/18
Wed Mar 18 17:00:39 IST 2026: Training 2/18
Wed Mar 18 17:05:39 IST 2026: Training 2/18
Wed Mar 18 17:10:39 IST 2026: Training 2/18
Wed Mar 18 17:15:39 IST 2026: Training 2/18
Wed Mar 18 17:20:39 IST 2026: Training 2/18
Wed Mar 18 17:25:39 IST 2026: Training 2/18
Wed Mar 18 17:30:40 IST 2026: Training 2/18
Wed Mar 18 17:35:40 IST 2026: Training 2/18
Wed Mar 18 17:40:40 IST 2026: Training 2/18
Wed Mar 18 17:45:40 IST 2026: Training 2/18
Wed Mar 18 17:50:40 IST 2026: Training 2/18
Wed Mar 18 17:55:40 IST 2026: Training 2/18
Wed Mar 18 18:00:40 IST 2026: Training 2/18
Wed Mar 18 18:05:40 IST 2026: Training 2/18
Wed Mar 18 18:10:40 IST 2026: Training 2/18
Wed Mar 18 18:15:41 IST 2026: Training 2/18
Wed Mar 18 18:20:41 IST 2026: Training 2/18
Wed Mar 18 18:25:41 IST 2026: Training 2/18
Wed Mar 18 18:30:41 IST 2026: Training 2/18
Wed Mar 18 18:35:41 IST 2026: Training 2/18
Wed Mar 18 18:40:41 IST 2026: Training 2/18
Wed Mar 18 18:45:41 IST 2026: Training 2/18
Wed Mar 18 18:50:41 IST 2026: Training 2/18
Wed Mar 18 19:00:42 IST 2026: Training 2/18
Wed Mar 18 19:18:50 IST 2026: Training 2/18
Wed Mar 18 19:29:49 IST 2026: Training 2/18
Wed Mar 18 19:36:10 IST 2026: Training 2/18
